How Far I'll Go|Alessia Cara
Bad Guy|Billie Eilish
One Dance|Drake Featuring WizKid & Kyla
Do Re Mi|blackbear
Memory|Kane Brown X blackbear
Freedom|Beyonce Featuring Kendrick Lamar
All Night|Beyonce
I Bet|Ciara
Party Girl|StaySolidRocky
Surf|Young Thug Featuring Gunna
Purple Rain|Prince And The Revolution
Breaking Up Was Easy In The 90's|Sam Hunt
No Heart|21 Savage & Metro Boomin
Infinite|Eminem
Do They Know It's Christmas? (2014)|Band Aid 30
I'll Kill You|Summer Walker Featuring Jhene Aiko
Strangers|Halsey Featuring Lauren Jauregui
Scared To Live|The Weeknd
Cooler Than A Bitch|Gunna Featuring Roddy Ricch
Gorgeous|Taylor Swift
Treat You Better|Shawn Mendes
Everytime|Ariana Grande
Promise|Kid Ink Featuring Fetty Wap
Dis & That|YoungBoy Never Broke Again
8|Billie Eilish
9|Drake
Watermelon Sugar|Harry Styles
I Like It|Cardi B, Bad Bunny & J Balvin
A-YO|Lady Gaga
Yikes|Kanye West
Te Deseo Lo Mejor|Bad Bunny
Parachute|Chris Stapleton
Blame On You|Rod Wave
Nowadays|Lil Skies Featuring Landon Cube
Good Drank|2 Chainz x Gucci Mane x Quavo
Kings Never Die|Eminem Featuring Gwen Stefani
My Hair|Ariana Grande
I|Lil Skies
Diplomatic Immunity|Drake
I'm Comin' Over|Chris Young
Boy With Luv|BTS Featuring Halsey
TOES|DaBaby Featuring Lil Baby & Moneybagg Yo
Allergic|Post Malone
Guts Over Fear|Eminem Featuring Sia
This Town|Niall Horan
Bon Appetit|Katy Perry Featuring Migos
Halley's Comet|Billie Eilish
X|Chris Brown
Bout My Business|YoungBoy Never Broke Again Featuring Sherhonda Gaulden
Pipe Down|Drake
Comin Out Strong|Future Featuring The Weeknd
All Too Well (Taylor's Version)|Taylor Swift
Happiness|Taylor Swift
Same Bitches|Post Malone Featuring G-Eazy & YG
Reminder|The Weeknd
Infinity|Mariah Carey
Gnarly|Kodak Black Featuring Lil Pump
Nobody|Dylan Scott
Powerglide|Rae Sremmurd & Juicy J
Nights|Frank Ocean
i|Kendrick Lamar
Got It On Me|Pop Smoke
I Know You|Lil Skies Featuring Yung Pinch
How Many Times|DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean
Fifteen (Taylor's Version)|Taylor Swift
Best Part|Daniel Caesar Featuring H.E.R.
One Man Can Change The World|Big Sean Featuring Kanye West & John Legend
Con Calma|Daddy Yankee & Katy Perry Featuring Snow
Rapstar|Polo G
Marsh|Eminem
Somewhere On A Beach|Dierks Bentley
Talking Body|Tove Lo
Millionaire|Chris Stapleton
Or Nah|Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard
Real Friends|Kanye West
Pt. 2|Kanye West
You And Your Friends|Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign
Santa Claus Is Comin' To Town|Jackson 5
No Idea|Don Toliver
Again|Fetty Wap
Rake It Up|Yo Gotti Featuring Nicki Minaj
Gonna|Blake Shelton
After Party|Don Toliver
Thinking With My Dick|Kevin Gates Featuring Juicy J
Happier Than Ever|Billie Eilish
Slow Dancing In The Dark|Joji
Send My Love (To Your New Lover)|Adele
Can't Take A Joke|Drake
Money So Big|Yeat
On The Ground|ROSE
Light|Big Sean Featuring Jeremih
Kick The Dust Up|Luke Bryan
Without Me|Halsey
Lalisa|Lisa
Way Less Sad|AJR
What Ifs|Kane Brown Featuring Lauren Alaina
I Could Use A Love Song|Maren Morris
Beibs In The Trap|Travis Scott
Break Or Make Me|YoungBoy Never Broke Again
This Girl|Kungs vs Cookin' On 3 Burners
iSpy|KYLE Featuring Lil Yachty
Unloyal|Summer Walker & Ari Lennox
I Hope|Gabby Barrett Featuring Charlie Puth
Mr. Right Now|21 Savage & Metro Boomin Featuring Drake
Nice For What|Drake
Barcelona|Ed Sheeran
Wilshire|Tyler, The Creator
Really Really|Kevin Gates
River Bank|Brad Paisley
Thats What I Want|Lil Nas X
Daylight|Taylor Swift
Focus|Ariana Grande
Fallin'|Why Don't We
Die Alone|Gunna & Chris Brown Featuring Yung Bleu
Let's Go Crazy|Prince And The Revolution
Complicated|Mac Miller
Heart On Fire|Eric Church
Song About A Girl|Eric Paslay
Without You|Luke Combs Featuring Amanda Shires
Chained To The Rhythm|Katy Perry Featuring Skip Marley
Ivy|Frank Ocean
Til It Happens To You|Lady Gaga
Drunk Face|Machine Gun Kelly
Faithful|Drake Featuring Pimp C & dvsn
Neighborhood Superstar|DaBaby & YoungBoy Never Broke Again
She Got The Best Of Me|Luke Combs
You're Welcome|Dwayne Johnson
I Like Me Better|Lauv
Young Wheezy|NAV With Gunna
Bad Things|Machine Gun Kelly x Camila Cabello
Off White VLONE|Lil Baby & Gunna Featuring Lil Durk & NAV
Uptown Funk!|Mark Ronson Featuring Bruno Mars
Rare|Selena Gomez
ZaZa|6ix9ine
Where Ya At|Future Featuring Drake
Sleep Without You|Brett Young
Down To The Honkytonk|Jake Owen
Bom Bidi Bom|Nick Jonas & Nicki Minaj
Sleeping On The Floor|Future & Lil Uzi Vert
Petty Too|Lil Durk Featuring Future
Worldwide Beautiful|Kane Brown
Who Do You Love?|YG Featuring Drake
She Knows|Ne-Yo Featuring Juicy J
Falling|Trevor Daniel
Keanu Reeves|Logic
Jonestown (Interlude)|Post Malone
Sweet Creature|Harry Styles
Hallelujah|Panic! At The Disco
Relacion|Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko
1985 (Intro To The Fall Off)|J. Cole
I Hope Ur Miserable Until Ur Dead|Nessa Barrett
Mind Of Melvin|YNW Melly Featuring Lil Uzi Vert
Illicit Affairs|Taylor Swift
